cui,name
7401263,SOLCETA SA
7403230,REGIA AUTONOMA DE ADMINISTRARE A DOMENIULUI PUBLIC SI A FONDULUI LOCATIV RA CRAIOVA
7416957,GOSPODARIE COMUNALA TUSNAD SRL
7453653,TRANSLOC SA
7613398,TROLEIBUZUL SA
7796899,REGIA AUTONOMA JUDETEANA DE DRUMURI SI PODURI VALCEA RA
7850009,GOS-TRANS-COM SRL
7933821,ALTITUDINEA 1040 PREDEAL SRL
7997507,ADMINISTRAŢIA DOMENIULUI PUBLIC SA
8145406,"TIRGURI, OBOARE SI PIETE SA"
8189348,RECONS SA
8274621,ADMINISTRAŢIA DOMENIULUI PUBLIC BEIUŞ S.A.
8334634,SALUBRI SA
8510382,GOSP-COM SRL
8574327,GOSPODARIE COMUNALA SA SFANTU GHEORGHE
8670570,TEGA SA
8915831,MICROSOFT ROMANIA SRL
8941369,ADMINISTRATIA ZONEI LIBERE GIURGIU SA
9126534,PUBLISERV S.A.
9444597,GOSPODARIE COMUNALA SANSIMION SRL
9671409,AEROPORTUL IASI RA
9710087,VITAL SA
9735812,MEDITUR SA
9743424,MEYRIN SANMARTIN SRL
9825567,ROFERSPED SA
9845831,CIVITAS COM SRL
9922624,GOSCOM CETATEA RASNOV SA
9966140,SALUBRITAS SA
10020943,ADMINISTRAREA DOMENIULUI PUBLIC BUCURESTI (A.D.P.B.) SA
10084149,COMPANIA DE APA TARGOVISTE-DAMBOVITA SA
10099760,TRANSPORT PUBLIC SA
10138656,GOSCOM SA
10152871,TRANSPORT URBAN DE CALATORI SA
10152880,ACVATERM SA
10250004,URBIS SA
10300854,REGIA AUTONOMĂ AEROPORTUL INTERNAȚIONAL CRAIOVA
10470956,SOCIETATE PENTRU LUCRĂRI DE DRUMURI ȘI PODURI REISER  S.A.
10481211,ACATERM SA
10524177,ETA SA
10597853,BRAICAR SA
10622337,TRANS BUS SA
10625635,ECO SA
10631629,DRUMURI SI PODURI SA
10638988,LUCRARI DRUMURI SI PODURI DAMBOVITA SA
10639878,SOCIETATEA PENTRU LUCRARI DE DRUMURI SI PODURI DOLJ S.A.
10644513,TRANSPORT PUBLIC SA
10682703,TRANSLOC SA
10683385,TRANSURBIS SA
10688510,TRANSPORT MARA NORD SA
10755066,LOCATIV SA
10755074,COMPANIA AQUASERV SA
10783082,DRUMURI-PODURI MARAMURES SA
10843605,ADMINISTRATIA PIETELOR AGROALIMENTARE SA
10863041,ELTRANS SA
10863076,URBAN SERV SA
10863084,LOCATIVA SA
10874881,"SOCIETATEA NATIONALA ""NUCLEARELECTRICA"" SA"
10881110,OLT DRUM SA
10881986,SOCIETATEA NATIONALA DE RADIOCOMUNICATII SA
10887008,TRACUM SA
10890801,TRANSURB SA
10946600,S.C. LUCRĂRI DRUMURI ŞI PODURI SA VASLUI
11054529,"COMPANIA NATIONALA DE CAI FERATE ""CFR"" SA"
11054537,"SOCIETATEA NATIONALA DE TRANSPORT FEROVIAR DE MARFA ""CFR - MARFA"" SA"
11054545,SOCIETATEA NATIONALA DE TRANSPORT FEROVIAR DE CALATORI - CFR - CALATORI SA
11059950,"SOCIETATEA DE ADMINISTRARE ACTIVE FEROVIARE ""S.A.A.F."" SA"
11062831,"COMPANIA NAŢIONALĂ ""ADMINISTRAŢIA PORTURILOR MARITIME"" - S.A.CONSTANŢA"
11086130,URBANA SA
11087755,COMPANIA NAŢIONALĂ ADMINISTRAŢIA CANALELOR NAVIGABILE SA
11121504,ORADEA EXPRES HOTEL SRL
11178217,"SOCIETATEA NAŢIONALĂ ""AEROPORTUL INTERNAŢIONAL TIMIŞOARA-TRAIAN VUIA-"" SA"
11193209,RUWATIM SMDP SRL
11212645,"SOCIETATEA NAŢIONALĂ ""AEROPORTUL INTERNAŢIONAL MIHAIL KOGĂLNICEANU-CONSTANŢA"" SA"
11316859,URBAN SA
11339135,AQUATERM AG 98 SA
11339178,EDILUL C.G.A. SA
11369861,ARCADIA 2000 SA
11400673,COMPANIA DE APA OLTENIA SA
11551757,CUPRU MIN SA ABRUD
11573879,SERVICE CICLOP SA
11584282,GOSPODARIRE COMUNALA TINCA SA
11653560,COMPANIA NATIONALA UNIFARM SA
11672708,ADMINISTRATIA NATIONALA DE METEOROLOGIE RA
11711424,TRANSURB SA
11711432,GOSCOM VASLUI SA
11766640,DRUMURI ŞI PODURI SA
11766659,GOSPODĂRIRE ORĂȘENEASCĂ AVRIG S.R.L.
11776466,COMPANIA NAŢIONALĂ ADMINISTRAŢIA PORTURILOR DUNĂRII MARITIME SA
11940770,PARC-TURISM SA
11945506,SOCIETATEA NATIONALA PLAFAR SA
11961641,"REGIA AUTONOMA ""ADMINISTRATIA ZONEI LIBERE"" CURTICI - ARAD RA"
12130683,TRANSBUS SA
12331610,LOCADIN SA
12397185,"COMPANIA NATIONALA ""LOTERIA ROMANA"" SA"
12530884,STATIUNEA OGLINZI SA
12649037,CONS PRIFAD SRL
12661090,PARKING SA
13008995,PUBLITRANS 2000 SA
13009001,APA-CANAL 2000 SA
13031718,SALUBRITATE 2000 SA
13068733,SOCIETATEA NAŢIONALĂ DE TRANSPORT GAZE NATURALE TRANSGAZ SA
13174912,EXPLOCONSTRUCT SRL
13267213,"SOCIETATEA DE PRODUCERE A ENERGIEI ELECTRICE IN HIDROCENTRALE "" HIDROELECTRICA"" S.A."
13278352,"OPERATORUL PIEŢEI DE ENERGIE ELECTRICĂ ŞI DE GAZE NATURALE ""OPCOM"" S.A."
13328043,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" SA"
13462877,CENTRUL DE AFACERI FLANDRA-VALCEA SA
13554423,COMPANIA NATIONALA ROMARM SA
13652413,SOCIETATEA ”TOHAN” S.A. FILIALĂ A COMPANIEI NAŢIONALE ”ROMARM”  S.A.
13658823,PALAT JUD SRL
13741804,UZINA MECANICA PLOPENI SA
13863739,METROREX SA
13914972,UZINA DE AGENT TERMIC ŞI ALIMENTARE CU APĂ MOTRU SA
13945863,COMPANIA NATIONALA ROMARM SA BUCURESTI FILIALA SOCIETATEA CARFIL S.A.
14001286,ADMINISTRARE ŞI EXPLOATARE A PATRIMONIULUI ŞI SERVICIILOR DE UTILITĂŢI PUBLICE ARGEŞ SA
14004916,OVI-PRESTCON SRL
14056826,"SOCIETATEA NATIONALA DE GAZE NATURALE "" ROMGAZ "" SA"
14071095,APA PROD SA
14134878,TERMO-SERVICE SA
14232728,"SOCIETATEA PENTRU SERVICII DE MENTENANTA A RETELEI ELECTRICE DE TRANSPORT ""SMART"" S.A."
14257595,SOCIETATEA DE REPARATII LOCOMOTIVE C.F.R.- S.C.R.L. BRASOV S.A.
14271549,COMPANIA NATIONALA A CUPRULUI AURULUI SI FIERULUI MINVEST SA DEVA FILIALA CERTEJ SA
14273221,"COMPANIA NATIONALA DE INVESTITII ""C.N.I."" SA"
14300920,SOCIETATEA INTRETINERE SI REPARATII LOCOMOTIVE SI UTILAJE - C.F.R. IRLU S.A.
14322197,SOCIETATEA BĂIŢA S.A.
14325290,ŞANTIERUL NAVAL MANGALIA SA
14325363,MIDIA GREEN ENERGY S.A.
14334078,PRAHOVA INDUSTRIAL PARC SA
14343629,TETAROM SA
14361269,ELECTROMECANICA PLOIESTI SA
14366231,ARSENAL-RESITA SA FILIALA A COMPANIEI NATIONALE ROMARM SA
14373832,"SOCIETATEA ""UZINA MECANICĂ SADU"" SA FILIALA A COMPANIEI NAŢIONALE ""ROMARM""   S.A."
14377605,PARCURI INDUSTRIALE SIBIU - ŞURA MICĂ SA
14380546,PLOIESTI INDUSTRIAL PARC SA
14423850,"COMPANIA NATIONALA ""ROMARM"" FILIALA UZINA MECANICA BUCURESTI SA"
14469423,PIROCHIM VICTORIA SA
14512191,MORENI PARC INDUSTRIAL SA
14529126,FORMENERG - S.A.
14531223,COMPANIA NATIONALA ROMARM S.A. FILIALA SOCIETATEA METROM S.A.
14543228,PARC INDUSTRIAL SRL
14547106,SOCIETATEA TIPOGRAFICĂ FILARET S.A.
14665500,TOTUL VERDE. S.A.
14685770,SERVICIUL TRANSPORT VOLUNTARI S.A.
14717383,GIROCEANA SRL
14749814,CONS MANAGEMENT PARC DE SOFT SRL
14781823,COMPANIA DE SERVICII PUBLICE ŞI ENERGII REGENERABILE PRAHOVA S.A.
14814475,MEDSERV MIN SA
14814483,MINPREST SERV SA
14816433,SALUBRIS SA
14891753,SALCO SERV SA
14893410,Grup Exploatare si Intretinere Palat C.F.R. SA
14923006,CONVERSMIN SA
14963620,PARCUL INDUSTRIAL CUGIR SA
14966210,INFORMATICA FEROVIARA SA
15018316,PARC INDUSTRIAL SRL
15034095,Telecomunicatii C.F.R. SA
15061510,"SOCIETATEA PENTRU SERVICII DE TELECOMUNICAŢII ŞI TEHNOLOGIA INFORMAŢIEI ÎN REŢELE ELECTRICE DE TRANSPORT""TELETRANS"" S.A."
15189596,ELECTROCENTRALE BUCURESTI SA
15201924,PLOPENI INDUSTRIAL PARC SA
15339073,INDUSTRIAL PARC SRL
15346437,COMPANIA JUDETEANA APA SERV SA
15349689,PARC INDUSTRIAL MURES SA
15400994,PARC INDUSTRIAL GORJ SA
15464254,HIDRO-SAL COM SRL
15551423,TELEGONDOLA-MAMAIA SRL
15643101,PRIMAS SRL
15657042,UZINA MECANICA ORASTIE SA
15691834,TR ADMINISTRARE IMOBILE SRL
15786039,CARFIL INDUSTRIAL PARC SA
15786047,METROM INDUSTRIAL PARC SA
15811175,CET GRIVITA S.A.
15946407,CITADIN SA
15955049,RACHITOVEANA SRL
15989092,ADMINISTRAREA PARCULUI INDUSTRIAL MANGALIA SRL
16041457,OCOLUL SILVIC SEBEŞ RA
16054368,COMPANIA NAŢIONALĂ DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.
16067546,OCOLUL SILVIC CORMAIA ANIES RA
16086688,PREST SERV PATIRLAGELE SRL
16181981,OCOLUL SILVIC SAPCEA CUGIR RA
16184414,ROMFILATELIA SA
16217287,GLOBAL MEDIA EXPERT SRL
16368506,COMPANIA NAŢIONALĂ ROMARM S.A. BUCUREŞTI FILIALA SOCIETATEA FABRICA DE ARME CUGIR S.A.
16369218,CENTRUL AGRO TRANSILVANIA CLUJ SA
16405213,ADMINISTRATOR IMOBILE SI PIETE SRL
16451651,BRAZI INDUSTRIAL PARC SA
16468149,APAVIL SA
16652035,UTIL PRESTSERV SRL
16683066,SERVICII MANDREANA SRL
16689999,PARC INDUSTRIAL CRAIOVA SA
16695222,RADIOACTIV MINERAL MAGURELE SA
16704673,TEHNOPOLIS SRL
16727448,OCOLUL SILVIC RASINARI RA
16730672,ECOAQUA SA
16775941,AQUASERV SA
16808496,SYLCOTUR SRL
16826034,HIDRO PRAHOVA SA
16828396,Electrificare C.F.R. SA
16830620,BAI COJOCNA SRL
16844952,APASERV SATU MARE SA
16862460,PRESLUC SRL
16868757,AQUACARAS SA
16906125,GOSAN SRL
16907635,OCOLUL SILVIC CODRII CAMARII RA
16914128,APA CANAL SA
16914861,COMPANIA PENTRU SERVICII PUBLICE MEHEDINTI SA
16915867,REGIA PUBLICĂ LOCALA OCOLUL SILVIC CINDREL RA
16976481,SERVICII DE GOSPODARIRE MAGURA CODLEI SRL
17004546,REGIA PUBLICA LOCALA-OCOLUL SILVIC GHIMES-FAGET RA
17023629,OCOLUL SILVIC BRATCUTA RA
17054889,GOSPOD SERV SRL
17094034,ORIZONTURI NOI SRL
17177326,OCOLUL SILVIC BUZĂUL ARDELEAN RA
17181335,SERVICII C.L.SĂLIŞTE SRL
17373721,OCOLUL SILVIC AL ORASULUI RASNOV RA
17406209,GOSP-COMUNCOR SRL
17420548,OCOLUL SILVIC CODRII CETATILOR RA
17429946,OCOLUL SILVIC MAIERU RA
17432100,OCOLUL SILVIC MUNICIPAL BAIA MARE RA
17447489,SERVICII DRAGUSANA SRL
17454834,OCOLUL SILVIC DEALUL SIBIULUI RA
17484436,DOROBEIUL SRL
17613913,REGIA PUBLICĂ LOCALĂ OCOLUL SILVIC VALEA FRUMOASEI RA
17670528,EUROBAC SRL
17716323,RÎUDEMOREANA SRL
17730816,REGIA PUBLICA LOCALA A PADURILOR KRONSTADT RA
17747931,ENERGOTERM SA
17791716,TRANSPORT PUBLIC LOCAL SA
17815688,LELESE TRANSCOM SRL
17866940,ARANKA SERVCOM SRL
17870232,ECO-SAL 2005 SA
17897432,OCOLUL SILVIC ALPINA BORŞA RA
17986823,AQUAVAS SA
18019510,OCOLUL SILVIC CODRII BEIUSULUI RA
18060498,SERVICE CONSLOC SRL
18171186,TRANSURBAN SA
18310039,TRANSAL URBIS SRL
18311875,VAB 5004 SRL
18333164,OCOLUL SILVIC CIUCAS RA
18348246,DENSUŞIANA PROD SRL
18454727,SCHILIFT SRL
18478122,NITROPARC SRL
18487287,OCOLUL SILVIC CRISUL REPEDE RA
18490657,OCOLUL SILVIC IZVORUL FLORII RA
18543689,PLOPCONSTRUCT SRL
18588753,PIEŢE REŞIŢA SRL
18632522,AGROPIEŢE SA
18663200,REGIA PUBLICA LOCALA-OCOLUL SILVIC STEJARUL RA
18672438,SAB TURISM SRL
18761454,REGIA AUTONOMĂ LOCALĂ OCOLUL SILVIC VALEA SEBEŞULUI RA
18856244,EXPLOATARE SISTEM ZONAL PRAHOVA SA
18856511,REGIA PUBLICA LOCALA A PADURILOR SACELE RA
18916672,COMPANIA DE UTILITATI PUBLICE SA
18917384,PREST SERV GRADISTEA SRL
18919474,CRUCEA TALIENILOR SRL
19113639,REGIA PUBLICA LOCALA A PADURILOR PIATRA CRAIULUI RA
19240411,PRIMA TĂUŢI SRL
19502679,APA TÂRNAVEI MARI SA
20064092,REGIA PUBLICĂ LOCALĂ OCOLUL SILVIC VALEA ORAŞTIEI RA
20202365,BĂIUŢ SERV SRL
20330054,COMPANIA DE APA ARIES SA
20415711,APAREGIO GORJ SA
20762885,VICTORIA PARC INDUSTRIAL SRL
21248670,REGIA PUBLICĂ LOCALĂ  -  OCOLUL SILVIC BĂNIA RA
21307548,COMPANIA DE APĂ OLT SA
21551614,ECOVOL ILFOV S.A.
21602815,REGIA PUBLICĂ LOCALĂ-OCOLUL SILVIC VALEA SADULUI RA
21610575,TRANSPORT URBAN SINAIA SRL
21727401,FABRICA DE PULBERI SA
21731216,REGIA PUBLICĂ LOCALĂ - OCOLUL SILVIC VALEA MUREŞULUI RA
21737529,GOSPODARIRE COMUNALA COCIUBA MARE SRL
22003997,PAZA SI PROTECTIE BIHOR SRL
22029210,"REGIA PUBLICA LOCALA OCOLUL SILVIC ""ŢINUTUL PĂDURENILOR"" RA"
22032410,EDILPREST SRL
22075438,SZEPKOZTAR SRL
22131317,APA SERVICE SA
22140498,REGIA PUBLICĂ LOCALĂ OCOLUL SILVIC TĂLMACIU RA
22224874,APA SERV SA
22225284,REGIA PUBLICA LOCALA OCOLUL SILVIC PADURILE FAGARASULUI RA
22412452,REGIA PUBLICĂ LOCALĂ OCOLUL SILVIC VALEA HAŢEGULUI RA
22566249,STEAUA ROŞIE RĂSMIREŞTI SRL
22618640,SERVICII PUBLICE SA
