cui,name
27302965,SALUBRIZARE ŞI GOSPODĂRIE CUMPĂNA SRL
27304567,SERVICII PUBLICE CARCEA SRL
27305066,SERVICIUL PUBLIC DE GOSPODĂRIE COMUNALĂ CIOLPANI SRL
27306940,SERVICII COMUNALE SIRET SA
27307997,COLECTARE DEŞEURI MOGOŞOAIA SRL
27312810,PAZA SI PROTECTIE CLUJ SRL
27314064,CRASNA-SERV SRL
27314102,GOSPODĂRIE COMUNALĂ ŞĂRMĂŞAG SRL
27321746,APA SAT SRL
27325934,NERA GOSP BOZOVICI SRL
27325950,CAZARE ŞI SERVICII PUBLICE SRL
27325969,POL - COM CARANSEBEŞ SRL
27330116,ECO - SCUP SRL
27334533,FLOR ECO SERVICII DE CURĂŢENIE SRL
27336771,SERVICIUL GOSPODĂRESC SRL
27338691,ADMINISTRATIA PIETELOR SI TARGURILOR SA
27340624,ECOLOGICA VATRA-DORNEI SRL
27354450,SERVICIUL PUBLIC ORAŞUL VAŞCĂU SRL
27360656,SERVICII GOSPODARIRE APATEU SRL
27361708,PAZĂ PUBLICĂ GIURGIU SA
27371558,EDILITAR DIVERS TOPALU SRL
27374805,TERMO CALOR CONFORT SA
27381730,TERMICA DISTRIBUŢIE NĂVODARI SRL
27387074,SERVICIUL PUBLIC DE GOSPODĂRIE COMUNALĂ SNAGOV SRL
27389563,OCOLUL SILVIC ARDUD RA
27393335,SALPITFLOR GREEN SA
27394322,ECO INEU PHARE 2004 SA
27396250,TERMICA BRAD SA
27404850,APĂ RĂTEŞTI SRL
27409407,GOSPODĂRIA IZVOARELE SRL
27412402,SERVICIUL SALUBRIZARE VIDRA SRL
27413181,GOSPODĂRIRE URBANĂ SRL
27414292,EDIL EXPERT PUBLISERV SUSENI SRL
27419583,DIRECŢIA PUBLICĂ MOTRU SA
27429315,COMPANIA REGIONALĂ DE APĂ BACĂU SA
27430581,ADMINISTRAŢIA PIEŢELOR FOCŞANI SA
27436894,SERVICII LOCALE IZVOARELE SRL
27449967,SERVICII DE GOSPODĂRIRE URBANĂ PLOIEŞTI SRL
27450147,GOSPODARIA LUMINA SRL
27453305,AQUAPREST ARMENIŞ SRL
27456085,SERVICII PUBLICE LOCALE SRL
27457340,REGIA DE ADMINISTRARE A DOMENIULUI PUBLIC ŞI PRIVAT AL JUDEŢULUI ARGEŞ RA
27472293,ECOSAL SERV DOBROEŞTI SRL
27477177,UTILITĂŢI PUBLICE CERNAVODĂ SRL
27486132,UTILITĂŢI APĂ-CANAL RUCĂR 2010 SRL
27488656,MUNICIPAL SECURITY SRL
27515874,AMENAJARE EDILITARA S5 S.R.L.
27519450,S.T. SALTIM SLATINA - TIMIŞ SRL
27576308,MERENDA PRIM SRL
27608930,DIVIZIA DE PAZĂ ŞI ORDINE SJP SRL
27642550,EDILITAR SALUB-TERM SRL
27645548,GOSPODĂRIE COMUNALĂ LENAUHEIM SRL
27648587,REGIA AUTONOMĂ JUDEŢEANĂ DE DRUMURI ARGEŞ RA
27662328,SERVICII LOCALE PECENEAGA SRL
27668673,PRESTĂRI DOBRUN SRL
27700057,D.U.S.P.I. SERV PANCIU SRL
27716550,ZONE VERZI SRL
27739200,EDILTOP APA-CANAL ROCIU 2010 SRL
27744762,PAZĂ ŞI SERVICII COMUNITARE SRL
27751700,PAZA C.L.B. SRL
27754111,APA - CANAL SICHEVIŢA SRL
27758318,AQUASAL UTILSERV SRL
27778056,EURO APAVOL  S.A.
27779140,CODRU LUNCA SRL
27787860,"COMPANIA NAŢIONALĂ PENTRU CONTROLUL CAZANELOR, INSTALAŢIILOR DE RIDICAT ŞI RECIPIENTELOR SUB PRESIUNE - (CNCIR) SA"
27802057,CAMPIA TRANSILVANA SRL
27804376,GOSPODĂRIRE COMUNALĂ LOCALĂ RĂŞINARI SRL
27807208,ROZNOVSAL SRL
27809411,RIBIŢA 2010 SERVCOM SRL
27811667,UTILITĂŢI ŞI SERVICII PUBLICE MURIGHIOL SRL
27826579,INTER PREST 1 DECEMBRIE SRL
27840794,NUŞFALĂU SERV SRL
27850739,PAZĂ OBIECTIVE ŞI INTERVENŢIE SRL
27854960,UTILITĂŢI APASERV CORNU SRL
27855450,E.C. RUSCOM BEST SRL
27856405,PIAŢA PRIM-COM SA
27864203,APA SERV TROTUŞ SRL
27873180,GUGULANIA LAND SRL
27892769,CETATEA KORNIS SRL
27910237,ECOEDILITAR SRL
27924739,OCOLUL SILVIC COMUNAL JOSENII BIRGAULUI RA
27946109,PAZA SI PROTECTIE FORSE SRL
27962317,UTILITĂŢI PUBLICE MUNICIPALE ADJUD SRL
27965160,COMUNALE CRIŞTIOR SRL
27969145,SALUBRITATE CRAIOVA SRL
27991096,CONSTRUCTORUL RĂBĂGANI SRL
28001235,PIETE SI TARGURI CRAIOVA SRL
28021739,SELECTIV DEŞEURI 2010 SRL
28025730,GOSCOM ZETEA SRL
28046318,UTILITĂŢI PUBLICE BRAN SRL
28075461,MUNICIPAL CONSTRUCT SA
28085619,SALUBRITATE SEGARCEA SRL
28085937,SERVICII EDILITARE PLOPENI SRL
28095744,LOCAL PREST SERV AŞTILEU SRL
28109807,ALIMPEŞTI UTIL SRL
28111335,CARSIUM EDIL SRL
28112594,ECOSAL RE-LI-VO SRL
28133465,GOSPOCERNA LUNCA CERNII SRL
28145290,ECO EURO CAB SRL
28147657,ECOSALUBRIZARE PREST SRL
28210860,VOINŢA CÂNDEŞTI SRL
28213025,ADI ECOO 2009 SRL
28260493,SERVICII PUBLICE CASIMCEA SRL
28268713,URBANA SERV SRL
28269794,APĂ ŞI CANAL SĂLCIOARA SRL
28285129,SERVICIUL PUBLIC RUPEA SRL
28308893,"SERVICII APĂ, CANAL, SALUBRITATE, FILIPEŞTII DE PĂDURE SRL"
28310079,PRIMPAD-SERV SRL
28323214,PARCURI VERZI&URBAN TRANS S.R.L.
28355992,LACURILE NATURALE OCNA SIBIULUI SA
28396127,APĂ-CANAL TĂLMACIU SRL
28403313,MOŞNIŢEANA SRL
28408302,SERVICIU PUBLIC PRESTARI SERVICII BEBA VECHE SRL
28418969,LOCALSERV COMTAM SRL
28424073,AROMAPA SERV SRL
28449701,ECO VEST CODRII VLĂSIEI SRL
28469733,KULTUR CENTRUM SRL
28470100,SERVICII PENTRU COMUNITATE NUCET SRL
28478049,COMPANIA DE SERVICII FILDU SRL
28507306,M.K. PAZĂ ŞI PROTECŢIE SRL
28510530,CENTRUL MEDICAL SĂNĂTATEA PENTRU TOŢI SRL
28644672,REGIA PUBLICĂ LOCALĂ OCOLUL SILVIC GURA RÂULUI RA
28664262,PADEŞ UTIL SRL
28696329,ECOSERV SIG SRL
28708334,JUD PAZĂ ŞI ORDINE AG SRL
28744019,SERVICIUL PUBLIC DE ALIMENTARE CU APĂ ARICEŞTII RAHTIVANI SRL
28876303,GOSPOSAM UTIL SRL
28888987,STV SANNICOLAU MARE SRL
28924478,PĂRŢANA SRL
28962463,APĂ CANAL BALC SRL
28973713,GENERAL EDILITAR CONSTRUCT SRL
28980435,RO-ARMYCATERING SA
29085218,VITALISSIMA SRL
29094518,GENERAL PUBLIC SERV SA
29104654,UTILITATI PUBLICE SINPAUL SRL
29112754,BRIJANA COM SRL
29136150,RO-ARMYSECURITY SA
29158018,SERVICIUL DE UTILITATI PUBLICE GHERCESTI SRL
29167911,CLP ECOSERV S.R.L.
29188485,GOSPOLOCAFAR SRL
29205888,JUPSAL SALUBRIS SRL
29218217,SALUBRIZARE SORTIS COM SRL
29254856,CSÍKI FÜRDŐK SRL
29315554,ADCOP GRUP SRL
29331835,INTREŢINERE PEISAGISTICĂ DOMNEŞTI SRL
29355176,SERVICII DE GOSPODĂRIRE COMUNALĂ DEVESEL SRL
29358725,COMPANIA DE UTILITĂȚI PUBLICE TECUCI SRL
29387348,EUROSERV PUB DRĂGANU SRL
29402715,CENTRUL REGIONAL DE EXCELENŢĂ IN AVIAŢIA CIVILĂ SA
29445066,ECOSISTEM VICTORIA SRL
29448577,SERVICII PUBLICE  BEŞTEPE SRL
29482943,SERVICII PUBLICE GOIESTI SRL
29483329,SALUBRITATE RURALĂ PRUNDU SRL
29498869,UTILITĂŢI PUBLICE MĂGURELE SRL
29521783,SERVICIUL DE GOSPODĂRIRE COMUNALĂ CĂLINEŞTI SRL
29552941,GOSPODARIRE COMUNALA NEGOI SRL
29557493,APAPRIMA BERCA SRL
29557787,UTILITĂŢI PUBLICE NUFĂRU SRL
29559184,PRIMA VARIAŞ SRL
29587621,APA CANAL TURNU ROSU SRL
29595527,"SERVICII PUBLICE, AGREMENT ŞI SALUBRITATE SPAS S.R.L."
29759816,"PIEŢE, TÂRGURI ŞI OBOARE FĂGĂRAŞ SRL"
29780028,GIURGIU SERVICII PUBLICE S.A.
29798475,SERVICII PUBLICE CIUREA SRL
29813109,APĂ CANAL CIPRIAN PORUMBESCU SRL
29839249,NEMANU CONSBUC SERVICII SRL
29841761,SERVICII DE ADMINISTRARE A DOMENIULUI PUBLIC SI GOSPODARIRE COMUNALA GALICEA MARE SRL
29848867,PARCURI SERVICII & PROD PANTELIMON SRL
29879537,VALENIPRIM SERV SRL
29884584,APĂ ŞI CANALIZARE PRUNDU SRL
29940919,SERVICII PUBLICE IANCU JIANU SRL
29949152,POTLOGI TÂRG 2011 SRL
30026835,FMF - DENT SRL
30029890,EDIL PORUMBACU SRL
30055849,LOCAL URBAN SRL
30069852,COLECT RECUNOŞTINŢA SERV SRL
30070067,TRANS AUTO CORBEANCA SRL
30098173,GOSPODĂRIE COMUNALĂ VALU LUI TRAIAN SRL
30163492,ŞTRAND TERMAL DETA SRL
30229295,SERVICII FUNERARE ABS. VOLUNTARI SRL
30267310,SOCIETATEA COMPLEXUL ENERGETIC OLTENIA S.A.
30350806,REGIA PUBLICĂ LOCALĂ A PĂDURILOR MĂIERUŞ RA
30371485,ŞTEFSALUBSERV SRL
30426424,BUSTEDIL PREST SRL
30459529,PRESTĂRI SERVICII CIORĂŞTI SRL
30468403,CRISTALPRIM TITULESCU SRL
30486167,CONTIL PREST DĂEŞTI S.R.L.
30497727,OPERATORUL DE SERVICII COMUNITARE AMARA S.A.
30508524,UNATC PRODUCŢIE TEATRU SRL
30509368,PRESERV VEDIŢA SRL
30510397,"GOSPODARIRE, MONITORIZARE ŞI TRANSPORT BRĂNEŞTI SRL"
30531586,SERVICII COMUNITARE DE UTILITĂŢI PUBLICE PUCIOASA SCUP S.R.L.
30537074,THE SCIENCE CITY FOR RESEARCH AND MEDICAL INFORMATICS S.A.
30555135,APA COM LUNCA SRL
30558107,"SARAIU-PROGRES,DEZVOLTARE,SERVICII SRL"
30562060,CIOBĂNAȘUL EDILITAR SRL
30583763,GOSPODARUL COMUNAL GREACA SRL
30638745,SERVLOC FRĂSINET SRL
30656687,PRESTĂRI SERVICII TĂTULEŞTI SRL
30663811,CERNA TOPLIŢA S.R.L.
30669849,BOGHIŞ SERV SRL
30673769,SERVICII LOCALE TURCOAIA SRL
30696398,SERVICII COMUNALE BĂNEASA SRL
30721920,PRESTĂRI SERVICII GRĂDINARI SRL
30735390,BUSINESS PARK BISTRIŢA SUD SRL
30738434,GOSPODĂRIA DE INTRETINERE PEISAGISTICĂ COLIBAŞI SRL
30744045,UTILITĂȚI PUBLICE NALBANT SRL
30744673,EDILITARA GURA PADINII SRL
30744681,DEVES PRESTSERV SRL
30749948,GHINDĂREȘTI EDIL SRL
30750004,GOLDTERM MANGALIA S.A.
30765218,SERVICII PUBLICE GOSCOM SRL
30774291,SERVICII URBANE STAŢIUNEA AZUGA SRL
30796028,SERVICII COMUNALE GHERGHEŞTI SRL
30798240,EDILITAR MĂRĂCINENI SRL
30809136,SELECTIV SOC COLECTARE SRL
30813854,ADP CORNETU SERV SRL
30818568,ECOSAL SERVICII OLTENIȚA SRL
30830529,SERVICII DE GOSPODARIRE UNICE CILIBIA SRL
30834296,SCĂRIŞOARA PRICONSERV SRL
30853905,APA PLOPII-SLĂVITEŞTI SRL
30859266,PLOSCA SERV SRL
30859584,VALSALUB SRL
30859649,SOCIETATEA COMPLEXUL ENERGETIC VALEA JIULUI S.A.
30860929,EDILITAR LOCAL TUZLA SRL
30860945,UTILITĂȚI PUBLICE-GOSPODĂRIA COMUNALĂ SRL
30890954,ALIMENTARE CU APĂ ŞI CANALIZARE AFUMAŢI SRL
30896051,ROEŞTI PREST S.R.L.
30925017,CALORGAL S.R.L.
30941101,COROITRANS S.R.L.
30948835,SIMPRESTUTIL S.R.L.
30955972,GOSPODĂRIRE LOCALĂ BERBEŞTI S.R.L.
30964121,SERVICII URBANE ODOBEŞTI SRL
31001189,PROSALUBRIS SRL
31012790,ADMINISTRARE ACTIVE SECTOR 3 SRL
31028788,ELECTROCENTRALE GRUP S.A.
31029392,SISTEM CONSLOC ZĂRNEŞTI 2012 SRL
31029694,ACTIVE CONEXE S.A.
31032657,RURAL SALUBRITATE MIRCEA VODĂ SRL
31041582,EDIL NEGRENI SRL
31042391,SERVICII COMUNALE JIBERT SRL
31045070,ADMINISTRAREA DOMENIULUI PUBLIC SI PRIVAT BALOTESTI SRL
31055251,ECOSALUBRIS HÂRLĂU S.R.L.
31057287,PRIM PODU SRL
31069737,MANAGEMENT SERVICII PUBLICE RURALE  VLAD TEPEŞ SRL
31117192,SATUL NOU GRĂDIŞTEA SRL
31142447,AQUAVERA COTEANA SRL
31151518,IZBUCUL CĂRPINET SRL
31151542,SPERANŢA REMETEA SRL
31178661,AQUATERA ADUNAŢII COPĂCENI SRL
31204132,PRESTĂRI SERVICII MUNICIPALE MORENI S.R.L.
31229161,EDIL CANAL SERV GORGOTA SRL
31242390,ILOCONS & SERV 2012 ILOVĂŢ SRL
31268314,CONSLOC PREST STUDINA SRL
31293598,PRESTĂRI SERVICII PRIMAPREST COM BEZDEAD S.R.L.
31362639,PRESTĂRI SERVICII CAŢA SRL
31394843,AQUA DUMBRĂVIŢA SRL
31398209,NIC.BAL PREST SRL
31403178,LUMINIŞ DE SOARE SERVICII SRL
31434042,ADMINISTRAREA CIMITIRELOR ȘI A SPAȚIILOR VERZI S.R.L.
31434115,PIEŢE PREST TEC SRL
31516290,CSIKI JEGKORONG SRL
31547777,LOCAL SERV NĂSĂUD SRL
31557797,PARC IND VÂLCEA S.A.
31561534,SPAȚII VERZI PRUNDU SRL
31626366,SECTOR PRESTĂRI SERVICII POTCOAVA SRL
31629001,HERBA AMBIENT CERMEI SRL
31640549,GOSPODĂRIRE ȘI SERVICII PUBLICE CIOCÂRLIA SRL
31696884,DUMBRĂVIŢA INVESTIŢII SRL
31702633,SERVPRIM BALTA ALBA SRL
31710504,SERVICII PUBLICE SÂMBETEANA SRL
31726268,PRESTĂRI SERVICII SILIŞTEA SRL
31892929,SALUBRITATE-TURNU SRL
31924214,GOSPODĂRIRE LOCALĂ FÎRTĂŢEŞTI S.R.L.
31932837,WELLNESS TUSNAD SRL
31952982,TERMOFICARE ORADEA S.A.
31980931,SERVICII EDILITAR - GOSPODĂREŞTI RÎCIU SRL
32035988,GRĂDIŞTEA PRIMA SRL
32041718,TERMO SERV CET SRL
32061553,COMPANIA DE SERVICII PUBLICE ZĂRNEŞTI SRL
32074006,SERVICII GÎRLA MARE SRL
32081372,EDILITAR GRECI SRL
32106264,SERVICII DE UTILITATE PUBLICĂ JIRLĂU SRL
32111333,MEDICALĂ SFÂNTA CUVIOASĂ PARASCHEVA VOLUNTARI SRL
32149524,CRUCEA MULTISERVICE SRL
32166150,PRIMDRAGA SRL
32175213,COMPANIA DE TRANSPORT PUBLIC IAŞI  S.A.
32175566,DRUMURI MUNICIPALE S.R.L.
32190191,TUNARI SALUBRIZARE SRL
32240249,EFO URBAN SRL
32247646,GOSPODĂRIE COMUNALĂ LUNCA BAŞEULUI SRL
32249329,REMAPA SRL
32267317,URBAN ACTIV SERV SRL
32300235,ECKEN KOZMU SRL
32306920,REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIA NUCLEARĂ - RATEN
32314206,GREEN CITY VOLUNTARI S.A.
32380315,LOCATIVA VASLUI SRL
32410025,SLATINA INDUSTRIAL PARC S.A.
32419318,ECOCHIŞLAZ SRL
32435593,PODENI SERVICII ŞI PRODUCŢIE SRL
32455094,GOSCOM LUPENI SRL
32521937,REGIA AUTONOMĂ OCOLUL SILVIC IZVORUL SOMEŞULUI MARE RA
32530994,MAURA STAR BISNOV SRL
32531051,ZELENATA TREVA SRL
32531094,KAMAK STAR BISNOV SRL
32537992,TUR-SOMEŞ LIVADA SRL
32539748,SERVICE CONS PREST SRL
32571412,PLATFORMA INDUSTRIALĂ IMM SLOBOZIA S.R.L.
32621634,OVERSET SERDIS SRL
32636112,DASACON STAL SRL
32656110,SERVICII PUBLICE SLOBOZIA S.R.L.
32692511,A.D.P.P. CARACAL SRL
32740988,PROTECTIE SI PAZA BISTRITA-NASAUD S.R.L.
32743593,UTIL-ADSIC FÂNTÂNELE SRL
32818882,VALEA MEDISA SRL
32823617,SOCIETATEA MANAGEMENT SERVICII PUBLICE RURALE DRAGALINA SRL
32843274,AGROTURISM OBÎRŞIA SRL
32865035,GOSPODĂRIA COMUNALĂ COŞULA SRL
32891565,GOSPODĂRIE COM MATEEŞTI SRL
32931546,ANIMALE FĂRĂ STĂPÂN SRL
32938986,SERVICIUL PUBLIC DE ALIMENTARE CU APĂ SALUBRITATE CANAL ŞI DECONTAMINARE DOBREŞTI SRL
32950858,C.L. AIADALV AGRO SRL
32977543,IAŞI INDUSTRIAL PARK SRL
33012575,HIGH-TECH INDUSTRY PARK CRAIOVA S.A.
33093065,DOMENII PREST SERV SRL
33134190,SOCIETATEA DE ADMINISTRARE A PARTICIPAŢIILOR ÎN ENERGIE S.A.
33137064,ACMVOL DESIGN S.A.
33168451,CLUJ INNOVATION PARK S.A.
33237519,BM - DN TORONTAL SRL
33293110,AQA TALPA - TR SRL
33331973,BELIȘ SERVICII SRL
33381084,BLAUENDORF S.R.L.
33412636,GOSPOBER-PREST SRL
33418965,SPRIA TECHNOLOGY PARK SRL
33504764,ECOSALTECH S.A.
33537869,PREST ADP GRĂDINILE SRL
33576280,ECO SERVICIUL APĂ-CANAL-SALUBRIZARE TÎRGŞORU VECHI SRL
33599993,GOSPODĂRIE ORĂŞENEASCĂ CISNĂDIE S.A.
33602606,SEPSIIPAR S.R.L.
33602967,SALA POLIVALENTA S.A.
33618149,GOSPODARIE COMUNALA STILPU SRL
33620670,THERMOENERGY GROUP S.A.
33624337,SCHWABEN BUSINESS PARK PETREŞTI SRL
33676263,PIEŢE -PARCĂRI SRL
33682729,GOSPODARIRE COMUNALA INDEPENDENTA SRL
33717053,GRANI LINE-TRANS SRL
33745754,SPAŢII VERZI BĂUŢAR CARAŞ-SEVERIN SRL
33850202,PREST COM SÂNTANA PAVAJ SRL
33885642,PARC INDUSTRIAL CÂMPIA TURZII S.A.
33909580,CONSTRUCTORUL BĂȚANI S.R.L.
33928409,ASALTUL CETĂŢII SRL
33930760,PRIMALEX PROIECT TEL SRL
33935490,PREST SERV DIOSIG S.R.L.
33944501,CONSTRUCTORUL LUGAŞU DE JOS SRL
33962885,MIROSLAVA INDUSTRIAL PARC SRL
34143412,GOSPODĂRIRE COMUNALĂ ȘI ÎNTREȚINERE PEISAJISTICĂ SCHITU SRL
34185086,TRANS FĂGET VLĂDEASA SRL
34253920,PRIM TRANSPREST HUNEDOARA S.R.L.
34296440,REGIO INTEGRAL S.A.
34316106,SERVICII CONSTRUCT DRAGA SRL
34376183,LA SALA PARC SRL
34376205,UTILITĂȚI PUBLICE GÎRBĂU SRL
34419659,TRANSAGENT S.R.L.
34423315,AQUA SIC HEVIZ SRL
34441109,WELLNESS CENTER PRAID SRL
34446726,SALUBPREST HUNEDOARA S.R.L.
34497533,LOCAL CINCU SRL
34542642,START AFACERI T & D  SRL
34550637,CONSTRUCTII BEBA VECHE 2015 SRL
34567639,CIOCILE SERVICII ECOLOGIZARE SRL
34567655,SES IGIENA CIOCILE SRL
34600956,AGRO PRIM CONSTRUCT SRL
34637750,SESARTIZANROM SRL
34650504,AQUATORONTAL SRL
34672251,BRUTĂRIE PAN OPTAŞI SRL
34693785,SPATII VERZI BEBA VECHE SRL
34703536,GREEN - SES PREST SRL
34707333,BCU CONSTRUCT MOŢCA SRL
34728182,GOSPODARUL ERBICENI SRL
34788311,ECOPREST BRAHA 2015 SRL
34796560,GOSPODĂRIRE COMUNALĂ ȘI ÎNTREȚINERE PEISAGISTICĂ GHIMPAȚI SRL
34865210,AQUA VALEA IADULUI SRL
34902890,HOT SALUBRITY SERV SRL
34915261,"SNGN ""ROMGAZ"" SA-FILIALA DE ÎNMAGAZINARE GAZE NATURALE DEPOGAZ PLOIEŞTI SRL"
34963676,OCOLUL SILVIC LĂZĂRENI RA
34964388,CETPREST S.R.L.
35182401,TERMO URBAN CRAIOVA SRL
35196636,PRESTĂRI SERVICII TĂTĂRANU SRL
35201430,APAVER UTILITĂŢI SRL
35230738,GOSPODARUL MITRENI SRL
35244130,SEPSI REKREATÍV S.A.
35290845,APA-CANAL HORIA SRL
35307629,CONSLOCSERV PECIU NOU SRL
35332932,PARC INDUSTRIAL CĂLAN S.R.L.
35359890,APATET NATURA SRL
35362925,PRES CONS REDEA SRL
35521745,SALUBRIS OLT SRL
35604867,PRESTSERV GHIMPEŢENI SRL
35635448,SECURITY VOL S.A.
35694983,APA SERV CONCEPT LEORDENI SRL
35890211,SERVICII PUBLICE JURILOVCA SRL
35978101,APĂ CANAL BOBICEŞTI SRL
35998419,VAMOŞLAZ TRAVEL S.A.
36016121,APĂ ȘI CANAL BUCOV SRL
36064234,SERVPRIM VERNESTI SRL
36103929,MARIENBURG SCUP SRL
36166897,AQUA VALEA TEILOR SRL
36202884,GOSPODĂRIRE COMUNALĂ CĂSCIOARELE SRL
36210321,APĂ CANAL BUILA S.R.L.
36312763,PRESTĂRI SERVICII VLĂDILA SRL
36353380,APĂ CANALIZARE EPURARE APE UZATE STREJEŞTI SRL
36364711,APĂ CANAL SERV BALDOVINEŞTI SRL
36386965,AMENAJARE PEISAGISTICĂ BERCA SRL
36403969,ECO-SERV HĂLCHIU SRL
36435600,TRANS LOC BOCŞA SRL
36443211,EDIL SAL  PREST S.A.
36470879,APĂ CANAL GĂVĂNEŞTI SRL
36474781,GOSPODĂRIA ŞICULANĂ SRL
36476464,APĂ CANAL COSTEŞTI S.R.L.
36480325,GOSPODĂRIREA APELOR ŞI SERVICIILOR FRECĂŢEI SRL
36480333,PRUNDU SERVICII ALIMENTARE CU APA ŞI CANALIZARE SRL
36500953,APA-CANALIZARE PROGRESUL SFÎNTU GHEORGHE S.R.L.
36526384,APĂ-CANAL ORLEŞTI-SCUNDU S.R.L.
36526414,APA SERV TOPOLOG SRL
36555827,APATUL BRATEȘ SRL
36555967,PROIECTE DE DEZVOLTARE LOCALĂ MIREŞU MARE S.R.L.
36572798,PRESTĂRI SERVICII VIZANTEA-LIVEZI SRL
36577612,COM FEL CONSTRUCT SRL
36595635,TERMO PREST PON SRL
36600936,SERVICIU PUBLIC APĂ CANAL BOŢEŞTI SRL
36608581,TERMO SERV COM TAŞCA SRL
36641006,SALUBRITATE BRĂNEŞTI SRL
36653647,ULMETUM SERVICE PANTELIMON SRL
36722771,CRASCUP UTIL SRL
36727850,COMPANIA NAŢIONALĂ DE INVESTIŢII RUTIERE S.A.
36749130,ADMINISTRAŢIA DOMENIULUI PUBLIC SÂNTANDREI SRL
36783515,APĂ CANAL BÎRZA SRL
36806945,APĂ CANAL DERNA SRL
36809569,OVI-PROTECT SRL
36836644,BILT GOSPOLOC SRL
36850452,ADI 7 S.R.L.
36871978,SOCIETATEA  TRANSPORT  URBAN  REŞIŢA SOCIETATE CU RĂSPUNDERE LIMITATĂ
36886430,SOCIETATEA DE SERVICII PUBLICE MUNICIPALE BACĂU S.A.
36920906,TĂRLUNGENI SERVICII APE SRL
36942270,SERVICIUL UTILITĂŢI PUBLICE TULNICI SRL
36960021,SERVICIUL PUBLIC EDILITAR SACALAZEANUL SRL
37019312,EVENT PETRĂCHIOAIA SRL
37027617,SERVICII DE GOSPODĂRIRE LOCALĂ VALEA DOFTANEI SRL
37052459,APĂ-CANAL ŞUNCUIUŞ SRL
37057162,APĂ CANAL SLĂTIOARA S.R.L.
37070471,GOSPODĂRIE SEIMENI SRL
37074007,SERVICIU PUBLIC DE ALIMENTARE CU APĂ CURTIȘOARA SRL
37101306,OSICAPREST SERVCONS SRL
37147680,UTILITĂŢI ŞI GOSPODĂRIRE COMUNALĂ FĂCĂENI S.R.L.
37190290,PUBLISERV BICAZ SRL
37191481,"APĂ, CANAL , SALUBRITATE  FRĂTEŞTI SRL"
37192177,DEZVOLTARE URBANĂ SLATINA SRL
37223699,GOSPODĂRIRE LOCALĂ BUJORENI S.R.L.
37226385,APĂ CANAL SALUBRIZARE DRĂGHICENI SRL
37238843,PRIM ONCEŞTEANA SRL
37306760,SOCIETATEA DE ADMINISTRARE A DOMENIULUI PUBLIC GHIRODA S.A.
37351493,SERVICII EDILITARE BĂNEASA SRL
37365308,GOSPODARUL BRETEAN SERV SRL
37372887,SALUBRIZARE ŞI GOSPODĂRIE CAZASU SRL
37409960,ALGORITHM RESIDENTIAL S3 SRL
37430694,UTILITĂŢI ŞI GOSPODĂRIRE COMUNALĂ COLELIA S.R.L.
37495499,SERVICIUL PUBLIC ALEXANDRU ODOBESCU SRL
37516885,SERVICII PUBLICE LOCALE ROVINARI SRL
37517511,UTILSERV IANCA SRL
37521857,UTIL GOSPMOD LOCAL SRL
37563771,GOSPODĂRIE ŞTEFĂNEŞTI SRL
37635622,MULTICREATIV COLIBAŞI SRL
37635630,DECO AMBIENTAL COLIBAŞI SRL
37666831,PATAKLOKA-SZEGES SRL
37683905,LIMANU VERDE SERVICII DE CURĂȚENIE SRL
37709819,TRANSPORT URBAN PUBLIC SRL
37714360,ALGORITHM CONSTRUCTII S3 SRL
37737746,GOSPODARII CORLĂTENI SRL
37742513,APA ŞI CANAL CĂLUI SRL
37764910,COMPANIA MUNICIPALĂ IMOBILIARA BUCUREȘTI S.A.
37766199,APĂ CANAL SERV OBOGA SRL
37777066,SALUBRITATE ECOLOGICA CISLAU SRL
37801598,GOSPODĂRIE COMUNALĂ CIUPERCENII NOI SRL
37804020,SD3 - SALUBRITATE SI DESZAPEZIRE S3 SRL
37832101,COMPANIA MUNICIPALĂ MANAGEMENTUL TRAFICULUI BUCUREȘTI S.A.
37832144,COMPANIA MUNICIPALĂ ILUMINAT PUBLIC BUCUREȘTI S.R.L.
37832152,COMPANIA MUNICIPALĂ PARKING BUCUREȘTI S.A.
37852044,PARC INDUSTRIAL ALEXANDRIA SRL
37857742,APĂ-CANAL PIELEŞTI  SRL
37868890,SALUB TITU S.R.L.
37905750,PRESTĂRI SERVICII RĂSTOACA SRL
37953138,APĂ CANAL CLP TR SRL
37990900,APĂ - CANALIZARE MILOŞEŞTI S.R.L.
37992692,TRUSTUL DE CLĂDIRI METROPOLITANE BUCUREŞTI S.A.
37996252,APĂ-CANAL DESNĂŢUI  SRL
38028777,HIDROREŢELE SRL
38049842,AQUA CURĂŢELE SRL
38096704,SERVICIUL DE UTILITĂȚI PUBLICE MISCHII SRL
38103160,SALUBRITATE DOBREŞTI SRL
38130539,SERVICII DE GOSPODARIE URBANĂ SRL
38149574,SERVICIUL PUBLIC DE GOSPODĂRIRE COMUNALĂ AL COMUNEI MĂGURA SRL
38189005,INTERNET SI TEHNOLOGIE S3 SRL
38231835,APĂ SĂDIŞOR SRL
38244550,UTIL CONSECA SRL
38251697,CLV PADINA SRL
38255508,PARCURI INDUSTRIALE TÂRGU-SECUIESC S.R.L.
38308297,PRES SERV GURA OCNIŢEI S.R.L.
38348755,PRIMCOM ZĂTRENI S.R.L.
38389410,SPGC PRESTSERV SRL
