cui,natcode
4347437,32633
4347402,32660
4347348,32704
4512399,32768
4512364,32811
4347364,32884
4730580,33015
4426999,33122
17581650,179953
4512372,32955
4730571,33177
4426980,33202
15050988,179686
4427048,33248
4426964,33275
4512283,33337
4427030,33364
4347429,33382
4427064,33435
4512275,33514
4347445,33541
4730598,33603
4512291,33729
4512305,33621
4426948,33765
4427056,33658
4427080,33845
4427099,33881
4347356,33952
15128955,179659
4512259,33989
4427005,34075
4512240,34155
4512330,34173
15606693,179720
4347410,34235
4980110,34262
4347380,34280
4512321,34333
4512232,34360
17581668,179944
4347399,34397
4427072,34477
4512313,34618
4426956,34645
4426972,34690
4427021,34770
4347372,34850
4512410,34422
4427013,34903
4512348,34547
4512356,35152
4548899,34985
4512267,35054
4427102,35090
4512380,35269
4512402,35312
4730563,35429
3372882,35731
4112945,36006
3643876,36453
3372017,35946
3372173,37280
3372050,36060
3373403,39168
18382485,40035
3373519,36131
3571591,36202
3433890,36300
16406308,39983
3503694,36373
4524946,36426
3373454,36499
15676397,39967
3643892,36532
3372190,36569
8613981,36649
4524920,36676
3748503,36756
15676400,39975
3372157,36809
3672057,36907
8613973,36952
3433866,35759
3373535,37057
3503660,37011
15676370,39959
3373543,37100
3503635,37173
3373420,37217
3373322,37324
8613990,37397
3373527,37459
3571613,37618
3643884,37547
4524938,37672
3373365,37734
3672022,37770
3372165,37823
3372130,37850
15676389,39942
3373390,37912
3643906,37958
3503600,38063
3672006,38161
3373462,38241
3571567,38321
3503643,38376
3372122,38456
3571559,38492
3503678,38544
3373330,38580
3372106,35839
3503651,38633
3373373,38679
3571605,38731
3372114,38811
3373438,38848
3373446,38893
3571575,39122
3372084,35884
3643922,39220
3433912,38982
3373357,39051
3373381,39266
3373497,39328
3672030,39391
3571583,39417
3433858,39532
3503686,39612
3503627,39694
3372149,39658
3748490,39738
3373349,39792
3643914,39836
3672049,39872
4384206,40198
4777108,40241
4384419,40278
4317649,40438
4801362,40214
4580423,40303
4443353,40367
4443388,40394
4523207,40465
4646897,40492
4777205,40526
17490853,42498
4443426,40544
4777213,40606
4688736,40633
4777159,40688
4801389,40704
4801370,40768
4443469,40820
4777256,40857
4728369,40900
15141180,42456
16436600,42480
4777132,40928
4728326,40955
4777280,40991
4728318,41033
4833941,41088
4384591,41113
4646927,41177
16399529,42472
4646943,41248
4801397,41284
4443434,41346
4777221,41382
4384605,41417
4443485,41471
4777230,41541
4384613,41578
4777272,41621
4688701,41667
4646935,41701
4384567,41738
15578950,42464
4777175,41925
4384575,41818
4384583,41854
14670850,42449
4384621,41943
4777140,42003
4688710,42058
4801400,42076
4443477,42101
4777248,42156
4728300,42183
4443418,42236
4443450,42307
4777167,42398
4205670,42682
4343052,42753
4874631,43331
4721220,43411
4342820,42824
4874780,42842
4874798,42913
15955677,44560
4342669,42708
4342782,42968
4342804,43019
4342766,43073
4874658,43117
4874682,43180
4721301,43242
4342758,43279
4874755,43313
4874690,43466
4342685,43493
4721263,43563
4874739,43625
4342723,43652
4342839,43698
4721255,43732
4342693,43787
4342774,43812
4721271,43867
4721280,43929
4721298,43992
4874771,44060
4874674,44113
4874666,42771
4342740,44140
4342677,44177
4342715,44202
4342731,44257
4874763,44300
4874712,44328
4342707,44355
4342650,44391
4342812,44435
4874704,44462
4874747,44505
4342790,44532
4233874,44818
2406871,44845
4055807,47916
4055866,48325
3607644,48744
4234047,44863
2407869,44989
2407834,44934
3662568,45003
3662665,45101
3724407,45245
3724504,45334
2407842,45361
4154339,45389
3724482,45496
3724466,45539
4055840,45619
3662444,45673
3662681,45815
4055700,45753
3662673,45888
4055785,45959
3662622,46019
3662630,46108
2813247,46180
3724423,46251
2808976,46313
2407877,46377
4154355,46439
2407559,46484
4055823,46554
17521291,50564
3724440,46769
4234098,46803
2407931,46830
3724385,46867
4088219,46910
3662690,47006
2810909,47079
3724393,47159
3662584,47186
3724458,47300
4055831,47337
3662592,47630
4154312,47373
3662614,47417
3662541,47453
4088200,47578
4234039,47774
3724490,47818
4154363,47854
4593911,48021
4299470,48138
4154320,48227
3662452,48165
2809556,48557
4154371,48487
2407893,48682
3724520,48771
2407885,48842
3724539,48922
2407907,48968
2808992,49019
3724431,49046
4154266,49073
4055726,49153
3662487,49206
3662606,49233
3662657,49313
4234004,49439
4055718,49484
4154380,49545
2407591,49625
4088227,49849
4055734,49643
3662436,49769
4055858,49894
16312033,50549
4385538,49956
2407850,50399
3662703,50022
3662460,50068
4088197,50102
3662576,50228
4154347,50326
3724512,50415
2407915,50479
3228764,50790
3227947,51010
3227912,50889
3227920,50923
3227939,50969
3227955,51056
3227963,51118
3227971,51207
3227980,51243
3227998,51305
3228004,51332
3228012,51387
3228020,51449
3228039,51500
3228047,51546
3228055,51573
3227629,51626
3227637,51662
3227653,51699
3227645,51751
3227661,51804
3227670,51840
3227688,51948
3227696,51984
3227700,52035
3227718,51877
3227726,52062
3227734,52115
3227742,52160
3227564,53489
3227750,52570
3227769,52650
3227777,52696
3227785,52721
3227793,53700
3227807,52758
3227815,52785
3227823,52856
3227831,52909
3227408,52936
3227416,52954
3227424,52990
3227432,53023
3227440,53069
3227459,53103
3227467,53130
3227475,53167
3227483,53210
3227491,53247
3227505,53274
3227513,53327
3227521,53345
3227530,53372
3227548,50987
3227556,53425
3227572,53513
3227580,53577
3227602,53675
3227599,53639
3227610,53728
3227181,53755
3227190,53791
3227203,53853
3227211,54056
3227220,54109
3227238,54163
3227262,54350
3227246,54270
3227254,54305
3227270,54387
3227289,54412
3227297,54485
3227300,54500
3227319,54537
3227327,54573
3227335,54617
3227343,54699
4445370,92569
4294103,100610
4294154,101458
3797131,103032
16300713,93888
3966281,94125
3966419,101083
3966389,92961
3796802,101724
3966303,101804
3796799,101822
3796780,93085
19161962,180055
3796926,102419
3796896,93281
3796713,93325
3796730,93370
4294014,93441
4445389,93487
4445281,93539
3966397,102838
3796969,102945
3796942,103014
17558053,179962
4602688,93664
3796705,103568
